"","method","treatment","plant","emmean","SE","df","lower.CL","upper.CL"
"1","DA","ambient","AMDU",-22.7694952933342,0.455149967681687,61.1320710755635,-23.6795841388199,-21.8594064478484
"2","fum","ambient","AMDU",-28.6671262466675,0.455149967681688,61.1320710755657,-29.5772150921533,-27.7570374011818
"3","DA","elevated","AMDU",-23.2133834277778,0.45514996768168,61.132071075572,-24.1234722732636,-22.3032945822921
"4","fum","elevated","AMDU",-27.2830965966667,0.45514996768168,61.1320710755727,-28.1931854421524,-26.373007751181
"5","DA","ambient","INSP",-22.1885009411114,0.455149967681682,61.1320710755732,-23.0985897865971,-21.2784120956256
"6","fum","ambient","INSP",-25.5494734388891,0.455149967681682,61.1320710755734,-26.4595622843749,-24.6393845934034
"7","DA","elevated","INSP",-22.5223443544444,0.455149967681681,61.1320710755741,-23.4324331999302,-21.6122555089587
"8","fum","elevated","INSP",-25.6828874758841,0.551637900558037,92.8896472743,-26.7783481706936,-24.5874267810747
"9","DA","ambient","LATR",-23.1073390466669,0.455149967681682,61.1320710755734,-24.0174278921527,-22.1972502011812
"10","fum","ambient","LATR",-24.2831755911114,0.455149967681682,61.1320710755734,-25.1932644365971,-23.3730867456256
"11","DA","elevated","LATR",-23.6757513866667,0.455149967681681,61.1320710755739,-24.5858402321524,-22.7656625411809
"12","fum","elevated","LATR",-25.6247977688889,0.455149967681681,61.1320710755739,-26.5348866143746,-24.7147089234032
"13","DA","ambient","LYAN",-23.5051019855558,0.455149967681682,61.1320710755732,-24.4151908310415,-22.5950131400701
"14","fum","ambient","LYAN",-24.9394113111114,0.455149967681682,61.1320710755734,-25.8495001565971,-24.0293224656256
"15","DA","elevated","LYAN",-23.7645143144445,0.455149967681681,61.1320710755739,-24.6746031599302,-22.8544254689587
"16","fum","elevated","LYAN",-27.6256793688889,0.455149967681682,61.1320710755741,-28.5357682143747,-26.7155905234032
"17","DA","ambient","LYPA",-23.0461547388891,0.455149967681682,61.1320710755734,-23.9562435843749,-22.1360658934034
"18","fum","ambient","LYPA",-25.7420558055558,0.455149967681681,61.1320710755734,-26.6521446510416,-24.8319669600701
"19","DA","elevated","LYPA",-23.9031054422222,0.455149967681681,61.1320710755744,-24.813194287708,-22.9930165967365
"20","fum","elevated","LYPA",-25.6976745333334,0.455149967681681,61.1320710755741,-26.6077633788191,-24.7875856878476
"21","DA","ambient","PLRI",-21.0788402088891,0.455149967681682,61.1320710755734,-21.9889290543749,-20.1687513634034
"22","fum","ambient","PLRI",-23.8043603466669,0.455149967681682,61.1320710755737,-24.7144491921527,-22.8942715011812
"23","DA","elevated","PLRI",-21.6191997366667,0.455149967681681,61.1320710755746,-22.5292885821524,-20.7091108911809
"24","fum","elevated","PLRI",-27.3549036763504,0.479587731396219,70.4342425919647,-28.311307580404,-26.3984997722967
